method,selected_gamma,selection_dL,selection_ci_lo,selection_ci_hi,selection_KL,selection_rep,confirmation_dL,confirmation_ci_lo,confirmation_ci_hi,confirmation_p_one_sided,confirmation_KL,confirmation_rep,base_ppl,candidate_ppl,confirmed,wallclock_s
copy_next,0.5,-0.011460514068603515,-0.019969989538192748,-0.004641316413879395,0.006572772200452164,0.010034549050033092,-0.0030521124601364134,-0.006101032271981239,-0.00047129355370998413,0.02251704609458619,0.005565029668650823,0.010034549050033092,12.663132888015612,12.624542503397638,True,459.01409459114075
hard_ot_midpoint,0.5,-0.005556993484497071,-0.011025983333587647,-0.0015713975429534914,0.0031867456081090496,0.0027809225721284747,-0.0016345679759979248,-0.003540501818060875,-0.00013591013848781672,0.03591160667396854,0.0027019817662221612,0.0027809225721284747,12.663132888015612,12.642451044065792,True,476.8071632385254
barycenter,0.3,-0.006166725158691406,-0.011785743474960328,-0.0021400504112243654,0.003113564183586277,0.0019305413123220205,-0.0015734583139419556,-0.0036924391984939574,-2.2117048501968762e-06,0.054217650899475625,0.0026728142715001014,0.0019305413123220205,12.663132888015612,12.643223643583061,True,464.43017315864563
naive_average,0.3,-0.004931001663208008,-0.009818721890449524,-0.0014363671541214008,0.0025397534924559294,0.0016840509977191687,-0.0012779027223587037,-0.0030923989415168763,9.19856876134872e-05,0.06602789550319428,0.0021525716980249853,0.0016840509977191687,12.663132888015612,12.646960971293407,False,460.685423374176
random_native_s2,0.2,-3.1633377075195314e-05,-0.00030879449844360354,0.00032102656364440906,3.259441637055715e-05,5.98573626484722e-05,-0.00014340579509735106,-0.0002465847134590149,-3.697797656059266e-05,0.0060153135709077885,2.6830648997133723e-05,5.98573626484722e-05,12.663132888015612,12.661317051579227,True,421.44452381134033
random_native_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,12.663132888015612,12.663132888015612,False,139.40283346176147
random_native_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,12.663132888015612,12.663132888015612,False,138.88163232803345
random_native_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,12.663132888015612,12.663132888015612,False,138.72249054908752
random_native_s0,0.5,-0.0005703163146972656,-0.0014763712882995606,0.0001499716043472289,0.0002068161421630066,0.00039677841414231807,9.118318557739258e-05,-0.0001568625122308731,0.00026657931506633757,0.7880980357044465,0.0001662092776314239,0.00039677841414231807,12.663132888015612,12.664287605456336,False,460.6761794090271
copy_prev,0.1,-0.00020682811737060547,-0.001666422963142395,0.0009500992298126213,0.0002846331388718681,0.00034260755404829984,0.0007749855518341065,0.00034415505826473235,0.0012023025006055832,0.9992537302541781,0.00024031625525822164,0.00034260755404829984,12.663132888015612,12.672950436782633,False,401.90757846832275
