rank,i,pair,best_gamma,best_dL,ci_lo,ci_hi,best_KL,best_rep,D_rep_1,min_slope_gamma,min_slope,wallclock_s
1,3,F4-F5,0.1,-6.35671615600586e-05,-0.0001300853490829468,1.2797117233275414e-06,0.00014034285020898097,0.0008817596547305586,0.08817596547305584,0.0001,-0.0028610229492187496,1373.752861738205
2,16,F17-F18,0.1,-5.345344543457031e-05,-0.00010728371143341065,-1.4543533325195312e-06,6.288454029345303e-05,0.00033154702745378026,0.03315470274537802,0.0001,-0.0019073486328125,1372.580270767212
3,17,F18-F19,0.1,-4.650592803955078e-05,-0.00010615622997283936,1.5130281448364185e-05,6.092228093621088e-05,0.000318156285211444,0.03181562852114439,0.0001,-0.0012874603271484375,1372.4187316894531
4,27,F28-F29,0.1,-3.054618835449219e-05,-6.613790988922119e-05,8.63599777221679e-06,3.901837631929084e-05,0.00015772228129208091,0.015772228129208088,0.0001,-0.0011920928955078125,1372.6040279865265
5,12,F13-F14,0.1,-2.829551696777344e-05,-8.267939090728759e-05,2.35748291015625e-05,4.6908333697501806e-05,0.0003406673576682807,0.03406673576682806,0.0001,-0.0009059906005859375,1372.8209149837494
6,28,F29-F30,0.1,-2.6378631591796875e-05,-7.810020446777344e-05,2.463960647583006e-05,5.197908217269287e-05,0.0001946765556931496,0.019467655569314957,0.0001,-0.00095367431640625,1381.739432811737
7,26,F27-F28,0.1,-1.935005187988281e-05,-6.690549850463868e-05,2.7749061584472627e-05,3.308972206923499e-05,0.00012960002990439537,0.012960002990439534,0.0003,-0.0007311503092447917,1372.606947183609
8,29,F30-F31,0.03,-1.4510154724121094e-05,-3.469467163085938e-05,4.760265350341776e-06,6.744914039700234e-06,1.97846551425755e-05,0.021982950158417225,0.003,-0.0006930033365885417,1255.0913116931915
9,14,F15-F16,0.03,-9.92298126220703e-06,-2.5730490684509276e-05,7.568120956420888e-06,5.3008459519787725e-06,3.344378275796771e-05,0.03715975861996412,0.0001,-0.0007152557373046874,1246.9105927944183
10,21,F22-F23,0.03,-7.610321044921875e-06,-2.3200154304504393e-05,8.66913795471191e-06,4.53602624929772e-06,1.6328669898211955e-05,0.01814296655356884,0.0003,-0.0005086263020833334,1246.8241500854492
11,9,F10-F11,0.03,-6.284713745117187e-06,-2.3780584335327147e-05,1.2026309967041009e-05,4.326250564190559e-06,3.995253760367632e-05,0.04439170844852924,0.003,-0.0003258387247721354,1246.9616932868958
12,13,F14-F15,0.03,-5.855560302734375e-06,-2.3062705993652344e-05,1.0352849960327139e-05,4.211730968108896e-06,2.7327161002904176e-05,0.030363512225449085,0.0003,-0.00031789143880208337,1121.2413074970245
13,19,F20-F21,0.03,-5.636215209960938e-06,-2.6765227317810058e-05,1.5197277069091791e-05,7.936112073139157e-06,2.7029385091736912e-05,0.030032650101929903,0.0001,-0.0007152557373046874,1246.8470284938812
14,15,F16-F17,0.03,-5.202293395996094e-06,-2.2983908653259277e-05,1.1649966239929186e-05,5.444551245545881e-06,3.403392909094691e-05,0.03781547676771879,0.0003,-0.0003973642985026042,1246.9301557540894
15,18,F19-F20,0.03,-3.6907196044921876e-06,-2.9001951217651367e-05,2.177321910858153e-05,7.492113356875052e-06,3.3487760089337824e-05,0.03720862232148647,0.0001,-0.0003814697265625,1246.645029783249
16,6,F7-F8,0.01,-1.56402587890625e-06,-9.37056541442871e-06,6.818771362304688e-06,8.69440122528431e-07,6.2984428368508815e-06,0.06298442836850882,0.003,-0.00020662943522135416,995.4122469425201
17,20,F21-F22,0.01,-1.5020370483398437e-06,-7.639288902282715e-06,4.373073577880852e-06,5.702053952916231e-07,1.9526559859514237e-06,0.019526559859514236,0.0003,-0.00044504801432291674,1246.8605046272278
18,22,F23-F24,0.01,-1.0061264038085937e-06,-5.312204360961915e-06,3.1900405883789064e-06,4.169121489638883e-07,1.6401513945311308e-06,0.016401513945311308,0.001,-0.0001430511474609375,1124.0781753063202
19,11,F12-F13,0.01,-9.870529174804687e-07,-7.286787033081054e-06,5.550384521484375e-06,6.118705164226413e-07,3.979983180761337e-06,0.03979983180761337,0.0001,-0.0005245208740234375,995.4050235748291
20,23,F24-F25,0.01,-2.9087066650390624e-07,-5.197525024414063e-06,4.544615745544428e-06,4.2325658398567613e-07,1.4646207448095083e-06,0.014646207448095083,0.0001,-0.0001430511474609375,1121.1747863292694
21,10,F11-F12,0.0001,-5.245208740234375e-08,-1.9550323486328124e-07,6.67572021484375e-08,-2.1082595530463876e-10,4.08827280625701e-10,0.040882728062570095,0.0001,-0.0005245208740234375,618.214067697525
22,5,F6-F7,0.001,-4.291534423828125e-08,-1.7881393432617188e-06,1.4972686767578126e-06,9.849840916231756e-09,7.08042848855257e-08,0.0708042848855257,0.0001,-0.00019073486328125,744.0437002182007
23,4,F5-F6,0.0001,-2.86102294921875e-08,-1.621246337890625e-07,1.0013580322265625e-07,1.3888259611793963e-10,7.392087206244469e-10,0.07392087206244469,0.0001,-0.000286102294921875,743.9982032775879
24,25,F26-F27,0.0003,-9.5367431640625e-09,-1.8596649169921876e-07,1.5735626220703126e-07,5.812080722256141e-10,1.1020502191968261e-09,0.012245002435520291,0.0003,-3.1789143880208336e-05,618.1140193939209
25,8,F9-F10,0.0,0.0,0.0,0.0,0.0,0.0,0.0479206470772624,0.003,1.430511474609375e-05,492.6198606491089
26,1,F2-F3,0.0,0.0,0.0,0.0,0.0,0.0,0.1375848427414894,0.003,0.000133514404296875,493.18820214271545
27,7,F8-F9,0.0,0.0,0.0,0.0,0.0,0.0,0.05852685868740082,0.0001,0.0001430511474609375,492.52756214141846
28,24,F25-F26,0.0,0.0,0.0,0.0,0.0,0.0,0.01236461172811687,0.001,0.00014781951904296875,492.49048495292664
29,30,F31-F32,0.0,0.0,0.0,0.0,0.0,0.0,0.03386562503874302,0.001,0.0010204315185546875,495.654944896698
30,2,F3-F4,0.0,0.0,0.0,0.0,0.0,0.0,0.13625860959291458,0.03,0.0014382998148600261,492.537899017334
31,0,F1-F2,0.0,0.0,0.0,0.0,0.0,0.0,0.3217928782105446,0.0003,0.003782908121744792,492.6624536514282
