rank,i,pair,best_gamma,best_dL,ci_lo,ci_hi,best_KL,best_rep,D_rep_1,min_slope_gamma,min_slope,wallclock_s
1,11,F12-F13,0.1,-0.003036637306213379,-0.005329437971115112,-0.0014483244419097928,0.0003617719044996193,0.00021450459025800232,0.021450459025800228,0.001,-0.035233497619628906,211.65884280204773
2,10,F11-F12,0.1,-0.002091631889343262,-0.004521474719047546,-0.0004208130836486828,0.00033323714895232113,0.00020460969302803282,0.020460969302803278,0.0001,-0.026702880859374997,211.6664125919342
3,16,F17-F18,0.1,-0.002035999298095703,-0.002825994729995727,-0.0013374154567718508,0.0005208989382663276,0.00021074367687106137,0.021074367687106133,0.0001,-0.0247955322265625,211.6632993221283
4,17,F18-F19,0.1,-0.0016864967346191407,-0.0024724246263504025,-0.001045415759086609,0.000518428862123983,0.00025002371054142717,0.025002371054142714,0.0001,-0.021982192993164062,211.66185784339905
5,12,F13-F14,0.1,-0.0012180662155151366,-0.002332498788833618,-0.0004923763275146487,0.00027610205259406937,0.00021363376639783386,0.021363376639783382,0.0001,-0.014829635620117186,211.66260361671448
6,18,F19-F20,0.1,-0.001135234832763672,-0.002079980134963989,-0.0002740671634674075,0.00042491334112128244,0.00021207551471889022,0.02120755147188902,0.0003,-0.014766057332356771,211.66653895378113
7,2,F3-F4,0.1,-0.0007599353790283203,-0.00128672194480896,-0.00038048720359802255,0.0002470029110554606,0.0002976121380925179,0.029761213809251785,0.03,-0.007881641387939453,210.7038586139679
8,3,F4-F5,0.1,-0.0006712865829467773,-0.0013790642023086548,-6.98938369750978e-05,0.00026624420379448563,0.0003377956710755826,0.03377956710755825,0.0001,-0.008249282836914062,211.02064728736877
9,34,F35-F36,0.1,-0.0005260324478149414,-0.0019230929613113404,0.0006619660854339594,0.00010970986159009044,0.00027746743522584445,0.02774674352258444,0.0003,-0.005547205607096355,211.77411603927612
10,14,F15-F16,0.1,-0.0004997682571411132,-0.0008930068016052246,-0.00014266860485076917,0.0004547467140946537,0.0002530527580529452,0.025305275805294514,0.0001,-0.009441375732421875,211.6628623008728
11,1,F2-F3,0.1,-0.00038262367248535154,-0.0008248472213745117,8.306503295898384e-06,0.00039283648206037467,0.0007332774996757509,0.07332774996757507,0.0003,-0.005690256754557292,211.65924072265625
12,13,F14-F15,0.1,-0.000344843864440918,-0.0007020502090454102,-4.654049873352284e-06,0.0002973417900648201,0.00022860057651996618,0.022860057651996613,0.0001,-0.006675720214843749,211.66178178787231
13,29,F30-F31,0.1,-0.0003383827209472656,-0.0006071772575378417,-1.9009113311767826e-05,6.124751271272544e-05,5.449704476632179e-05,0.005449704476632178,0.0001,-0.004291534423828125,211.77404475212097
14,15,F16-F17,0.1,-0.0003049516677856445,-0.0012385783195495606,0.0005230448246002198,0.0008581551247334574,0.00022362279240041976,0.02236227924004197,0.0001,-0.009632110595703125,211.66598773002625
15,26,F27-F28,0.1,-0.0002543115615844727,-0.0004362891912460327,-6.010115146636968e-05,6.812259829530376e-05,6.893279147334399e-05,0.006893279147334397,0.0003,-0.003401438395182292,211.66673755645752
16,20,F21-F22,0.1,-0.00024601936340332034,-0.0007154715061187745,0.0003282494544982906,0.00021707972962758503,0.00017239261418581012,0.01723926141858101,0.0003,-0.0040849049886067705,211.65150952339172
17,25,F26-F27,0.003,-1.4781951904296875e-07,-8.927464485168457e-06,9.757041931152339e-06,9.020234509549141e-08,7.474313001148402e-08,0.008304792223498225,0.001,-9.059906005859375e-05,113.72877669334412
18,23,F24-F25,0.0,0.0,0.0,0.0,0.0,0.0,0.009073108900338411,0.003,0.0010506312052408855,74.54400110244751
19,19,F20-F21,0.0,0.0,0.0,0.0,0.0,0.0,0.02134429756551981,0.001,0.0011539459228515625,74.5551278591156
20,27,F28-F29,0.0,0.0,0.0,0.0,0.0,0.0,0.005914866225793958,0.003,0.0034554799397786455,74.57879757881165
21,30,F31-F32,0.0,0.0,0.0,0.0,0.0,0.0,0.006426269421353936,0.0003,0.003782908121744792,74.71224069595337
22,4,F5-F6,0.0,0.0,0.0,0.0,0.0,0.0,0.02092594001442194,0.01,0.004006862640380859,74.54718732833862
23,28,F29-F30,0.0,0.0,0.0,0.0,0.0,0.0,0.005475040641613305,0.001,0.004754066467285156,74.5806028842926
24,21,F22-F23,0.0,0.0,0.0,0.0,0.0,0.0,0.012093613855540752,0.001,0.005745887756347656,74.55965042114258
25,31,F32-F33,0.0,0.0,0.0,0.0,0.0,0.0,0.008596122032031417,0.0003,0.0071684519449869795,74.59581327438354
26,32,F33-F34,0.0,0.0,0.0,0.0,0.0,0.0,0.03195442445576191,0.0003,0.007406870524088543,74.58307933807373
27,22,F23-F24,0.0,0.0,0.0,0.0,0.0,0.0,0.011887664906680584,0.0003,0.00910758972167969,74.55357050895691
28,8,F9-F10,0.0,0.0,0.0,0.0,0.0,0.0,0.013349751941859722,0.003,0.0092315673828125,74.56188583374023
29,7,F8-F9,0.0,0.0,0.0,0.0,0.0,0.0,0.012809320352971554,0.0003,0.009377797444661459,74.5628514289856
30,24,F25-F26,0.0,0.0,0.0,0.0,0.0,0.0,0.007667261408641934,0.001,0.009617805480957031,74.55707311630249
31,33,F34-F35,0.0,0.0,0.0,0.0,0.0,0.0,0.01828399207442999,0.1,0.01346712112426758,74.57783770561218
32,5,F6-F7,0.0,0.0,0.0,0.0,0.0,0.0,0.01478413725271821,0.01,0.01353168487548828,74.5513699054718
33,6,F7-F8,0.0,0.0,0.0,0.0,0.0,0.0,0.01245393930003047,0.003,0.014041264851888021,74.56314373016357
34,9,F10-F11,0.0,0.0,0.0,0.0,0.0,0.0,0.015844849403947592,0.0001,0.014495849609375,74.56005930900574
