rank,i,pair,best_gamma,best_dL,ci_lo,ci_hi,best_KL,best_rep,D_rep_1,min_slope_gamma,min_slope,wallclock_s
1,6,F7-F8,0.1,-0.0007634973526000977,-0.0023827801942825316,0.00017054688930511473,0.0017738989836652763,0.000791949760168791,0.07919497601687908,0.01,-0.035504817962646484,149.64290356636047
2,7,F8-F9,0.1,-0.0007089662551879883,-0.0018526430130004882,-5.454516410827651e-05,0.00170432374230586,0.0007717538811266424,0.07717538811266422,0.01,-0.02640104293823242,236.48777413368225
3,5,F6-F7,0.1,-0.0004323911666870117,-0.001867550492286682,0.00038437545299529975,0.0015644077317119808,0.0007985263131558897,0.07985263131558895,0.03,-0.008431116739908855,127.94326615333557
4,4,F5-F6,0.1,-0.00030329704284667966,-0.001611858606338501,0.0005297482013702391,0.0013638861905201339,0.0010728211887180807,0.10728211887180805,0.1,-0.0030329704284667966,106.2010018825531
5,1,F2-F3,0.03,-0.0002913093566894531,-0.0010268168449401856,0.00010367417335510253,0.0002767892047904752,6.282580755650997e-05,0.06980645284056664,0.0003,-0.01697540283203125,236.5408797264099
6,0,F1-F2,0.1,-0.0002793121337890625,-0.00101378333568573,0.00020768964290618892,0.0004204636801659944,0.0006331498082727195,0.06331498082727194,0.0001,-0.00457763671875,236.62645411491394
7,2,F3-F4,0.1,-0.00018426895141601562,-0.0010853601694107056,0.00037181723117828353,0.0008905258344020694,0.0009435455687344076,0.09435455687344074,0.1,-0.001842689514160156,106.20880651473999
8,8,F9-F10,0.1,-0.00017546653747558595,-0.00043865978717803954,6.0641050338745024e-05,0.00030278822996478996,0.0005543203838169576,0.05543203838169575,0.0001,-0.0042438507080078125,236.46438074111938
9,20,F21-F22,0.01,-4.086494445800781e-06,-1.951754093170166e-05,1.209759712219238e-05,2.8544000952024364e-06,4.75422851741314e-06,0.04754228517413139,0.0001,-0.00133514404296875,192.97466611862183
10,18,F19-F20,0.01,-2.970695495605469e-06,-1.2436270713806152e-05,6.706118583679173e-06,1.585636718175465e-06,3.1118430662900213e-06,0.03111843066290021,0.0003,-0.00041325887044270837,170.50433802604675
11,14,F15-F16,0.01,-2.117156982421875e-06,-1.117253303527832e-05,6.938457489013665e-06,1.5007026465241325e-06,4.191463999450207e-06,0.04191463999450207,0.0001,-0.0008583068847656249,193.0319480895996
12,15,F16-F17,0.003,-1.621246337890625e-07,-3.3856630325317383e-06,2.970695495605469e-06,2.0004076560553587e-07,4.3057695776224136e-07,0.047841884195804596,0.003,-5.404154459635417e-05,127.84893798828125
13,11,F12-F13,0.003,-1.3828277587890624e-07,-3.710031509399414e-06,4.224896430969236e-06,1.3068848009112344e-07,4.648603415116668e-07,0.051651149056851864,0.003,-4.609425862630208e-05,127.84547114372253
14,13,F14-F15,0.0001,-1.9073486328125e-08,-1.52587890625e-07,1.1920928955078125e-07,2.812547994501813e-10,3.501391224563122e-10,0.03501391224563122,0.0001,-0.00019073486328125,106.1379611492157
15,12,F13-F14,0.0001,-4.76837158203125e-09,-1.049041748046875e-07,9.059906005859375e-08,1.9164298495355503e-10,4.008092451840639e-10,0.04008092451840639,0.0001,-4.76837158203125e-05,149.61150932312012
16,9,F10-F11,0.0,0.0,0.0,0.0,0.0,0.0,0.07305965572595596,0.001,0.00023365020751953125,84.4709312915802
17,10,F11-F12,0.0,0.0,0.0,0.0,0.0,0.0,0.053054580464959145,0.0003,0.0002543131510416667,84.47962164878845
18,16,F17-F18,0.0,0.0,0.0,0.0,0.0,0.0,0.04738437011837959,0.001,0.0003147125244140625,84.42996406555176
19,17,F18-F19,0.0,0.0,0.0,0.0,0.0,0.0,0.035861408337950706,0.0001,0.0003814697265625,84.43095541000366
20,19,F20-F21,0.0,0.0,0.0,0.0,0.0,0.0,0.03401018679141998,0.0001,0.00133514404296875,84.43210625648499
21,3,F4-F5,0.0,0.0,0.0,0.0,0.0,0.0,0.12338751554489136,0.0001,0.034427642822265625,84.49428987503052
